,Company Name,Industry,Symbol,Series,ISIN Code
101,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
102,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
252,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
50,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
108,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
110,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
111,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
253,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
103,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
51,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
0,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
52,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
1,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
53,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
254,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
255,Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
104,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
112,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
113,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
257,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
54,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
258,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
114,Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
105,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
2,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
